dfs_newsanalyticsid,createdon,dfs_title,dfs_description,dfs_sourceurl,dfs_primaryeventlocation,dfs_firsteventcountry,dfs_secondeventcountry,dfs_eventsignificance,dfs_eventcode,dfs_eventdate,dfs_rating,crd69_cyberprocessed,crd69_disasterprocessed
912F2C75-942F-F011-8C4D-7C1E527DC3AB,2025-05-13 00:51:53.0000000,"Diddy filmed women as he forced them into days-long drug-fuelled 'Freak Off' sex parties, stamped on a girlfriend's head and dangled a woman from a balcony, his New York trial is told: Rapper ADMITS domestic violence but says kinky sex is no crime","Rap superstar Sean 'Diddy' Combs forced women to take part in drug-fuelled sex parties which went on for days while he filmed them, a court heard yesterday.",https://www.dailymail.co.uk/news/article-14705111/Diddy-forced-women-depraved-acts-drug-fuelled-sex-parties-lasted-days-filmed-court-hears.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,New York,United States,Not applicable,Local,Drugs and Crime,2025-05-13 00:49:50.0000000,117.76000000000000000,0,0
721D866B-592F-F011-8C4D-7C1E527DC3AB,2025-05-12 17:49:21.0000000,"Startling admission by Diddy's attorney: Domestic violence not sex-trafficking, so what if he likes baby oil","<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/121117879.cms"" />",https://timesofindia.indiatimes.com/world/us/startling-admission-by-diddys-attorney-domestic-violence-not-sex-trafficking-so-what-if-he-likes-baby-oil/articleshow/121117879.cms,Diddy's attorney's statement,United States,Not applicable,Local,Celebrity and Entertainment News,2025-05-12 17:33:53.0000000,29.44000000000000000,0,0
8A81CC7A-3E1F-F011-9989-7C1E527DC3AB,2025-04-22 05:56:09.0000000,Australia election 2025 live: Labor pledges financial protections for domestic violence victim-survivors; Katter MP says potential Palm Island alcohol ban breach an ‘honest mistake’,"<p>Follow today’s news live</p><ul><li><a href=""https://www.theguardian.com/australia-news/2025/apr/22/third-leaders-debate-what-time-tonight-when-albanese-v-dutton-nine-how-to-watch-live"">What time is the leaders’ debate tonight? How to watch watch Albanese v Dutton</a></li><li>Get our <a href=""https://www.theguardian.com/email-newsletters?CMP=cvau_sfl"">breaking news email</a>, <a href=""https://app.adjust.com/w4u7jx3"">free app</a> or <a href=""https://www.theguardian.com/australia-news/series/full-story?CMP=cvau_sfl"">daily news podcast</a></li><li><a href=""https://www.theguardian.com/australia-news/ng-interactive/2024/nov/02/labor-v-the-coalition-who-is-leading-in-the-polls?CMP=cvau_sfl"">Polls tracker</a>; <a href=""https://www.theguardian.com/australia-news/2025/mar/28/what-date-is-the-australian-federal-election-everything-you-need-to-know-about-voting-and-the-state-of-the-parties"">election guide</a>; <a href=""https://www.theguardian.com/australia-news/australian-election-2025?CMP=cv",https://www.theguardian.com/australia-news/live/2025/apr/22/australia-election-2025-live-pm-leads-tributes-to-pope-francis-pre-poll-voting-begins-ntwnfb,Australia,Australia,Vatican City,International,Religion and Religious News,2025-04-22 05:37:22.0000000,110.40000000000000000,0,0
2D3F8C34-401F-F011-9989-7C1E527DC3AB,2025-04-22 06:08:29.0000000,"Wife's schizophrenia, her SOS before murdering ex-K'taka DGP- What we know so far","The shocking murder of former Karnataka Police chief Om Prakash, allegedly by his wife Pallavi, has triggered widespread outrage. Pallavi was arrested following a complaint by their son, Kartikesh, suspecting her involvement. Police reports indicate Pallavi attacked Prakash with chilli powder and a kitchen knife during lunch, citing domestic violence as the motive.",https://timesofindia.indiatimes.com/india/wifes-schizophrenia-her-sos-before-murdering-ex-karnataka-dgp-om-prakash-what-we-know-so-far-about-the-case/articleshow/120508128.cms,"Karnataka, India",India,Not applicable,Local,Civilian Murder Event,2025-04-22 05:49:44.0000000,27.84000000000000000,0,0
B71BA5F5-501F-F011-998A-7C1E520A55FA,2025-04-22 08:08:32.0000000,Former Australia cricketer sentence to 4 years in jail for domestic violence,"Former Australian Test cricketer Michael Slater received a four-year jail sentence for domestic violence and other charges, but will be released immediately due to time already served. Judge Glen Cash attributed Slater's issues to alcoholism, which ended his career.",https://timesofindia.indiatimes.com/cricket/former-australia-cricketer-sentence-to-four-years-in-jail-for-domestic-violence-but-walks-free/articleshow/120510517.cms,Australia,Australia,N/A,Local,Civilian Murder Event,2025-04-22 07:33:57.0000000,25.28000000000000000,0,0
5D7413A4-571F-F011-998A-7C1E520A55FA,2025-04-22 08:56:13.0000000,Former cricketer Michael Slater sentenced to four years’ prison for DV offences but immediately walks free,"<p>The 55-year-old pleaded guilty to seven charges including two counts of choking a woman</p><ul><li>Get our <a href=""https://www.theguardian.com/email-newsletters?CMP=cvau_sfl"">afternoon election email</a>, <a href=""https://app.adjust.com/w4u7jx3"">free app</a> or <a href=""https://www.theguardian.com/australia-news/series/full-story?CMP=cvau_sfl"">daily news podcast</a></li></ul><p>The former Australian Test cricketer Michael Slater has been sentenced to prison for domestic violence offences but will immediately be released from custody on a suspended sentence.</p><p>Slater, 55, was sentenced in Maroochydore district court on Tuesday after pleading guilty to seven charges including two counts of choking a woman.</p> <a href=""https://www.theguardian.com/australia-news/2025/apr/22/michael-slater-sentenced-to-four-years-domestic-violence--offences-ntwnfb"">Continue reading...</a>",https://www.theguardian.com/australia-news/2025/apr/22/michael-slater-sentenced-to-four-years-domestic-violence--offences-ntwnfb,Maroochydore district court,Australia,N/A,Local,Domestic Violence Offense,2025-04-22 08:09:19.0000000,NULL,0,0
CFDDCD8E-5D1F-F011-9989-7C1E527DC3AB,2025-04-22 09:38:35.0000000,Indian cricketer breaks silence on domestic violence and dowry charges,"Amit Mishra, the former Indian spinner, has refuted media reports alleging his involvement in a domestic violence and dowry harassment case filed by his wife. He dismissed the accusations, including demands for compensation and dowry, as incorrect and warned of legal action against using his image in unrelated stories.",https://timesofindia.indiatimes.com/sports/cricket/news/indian-cricketer-breaks-silence-on-domestic-violence-and-dowry-charges/articleshow/120514641.cms,India,India,Not applicable,Local,Domestic Violence and Dowry Charges,2025-04-22 09:24:57.0000000,NULL,0,0
ED3C9449-4B20-F011-9989-7C1E527DC3AB,2025-04-23 14:00:22.0000000,Election 2025: Coalition claims its domestic violence initiatives ‘10 times bigger ...,"In a wide-ranging suite of measures to address the scourge of violence, which experts estimate has affected one in five women, the Coalition will also increase crisis helpline support for victim-survivors.",https://www.theaustralian.com.au/nation/politics/election-2025-coalition-claims-its-domestic-violence-initiatives-10-times-bigger-than-labors/news-story/60c0a45cc0265059b3e96f2e77b6cdb0,Australia,Australia,Not applicable,Nation,Elections and Voting,2025-04-23 12:00:00.0000000,142.20000000000000000,0,0
C0B4ED81-3620-F011-998A-7C1E520A55FA,2025-04-23 11:31:33.0000000,Stopping child marriage is key to curbing deadly teen pregnancies: WHO,"Teenage pregnancy remains the leading cause of death among 15-19-year-old girls which countries could help prevent by keeping girls in school and ending child marriage, the UN World Health Organization (WHO) said on Wednesday. &nbsp;",https://news.un.org/feed/view/en/story/2025/04/1162511,Global,Not applicable,Not applicable,International,Youth and Children Related News,2025-04-23 12:00:00.0000000,36.00000000000000000,0,0
F1025845-4B20-F011-998A-7C1E520A55FA,2025-04-23 14:00:20.0000000,"Coalition unveils $90m domestic violence strategy focused on prevention, early intervention ...",The Coalition says if elected they will create a national database of domestic violence offenders and introduce other measures to tackle the abuse epidemic.,https://www.abc.net.au/news/2025-04-23/coalition-domestic-violence-package/105208720,Australia,Australia,Not applicable,Nation,Civil Rights News,2025-04-23 12:35:00.0000000,199.08000000000000000,0,0
A3BC4D7F-5820-F011-998A-7C1E520A55FA,2025-04-23 15:34:58.0000000,"Unlikely excuse of Michigan man, 21, arrested for shooting 23 year-old fiancée dead","A Michigan man, 21, claimed he shot his 23-year-old fiancée to death by accident while cleaning his gun. Authorities have charged him with first-degree murder and said it was domestic violence.",https://www.dailymail.co.uk/news/article-14639721/michigan-man-arrested-shooting-fiancee-michael-devon-webb.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,Michigan,United States,Not applicable,Local,Civilian Murder Event,2025-04-23 15:23:57.0000000,29.44000000000000000,0,0
B4940051-8E20-F011-998A-7C1E52469F7D,2025-04-23 22:00:08.0000000,"A national register, tracking criminalised: Coalition unveils plan to combat domestic violence","With less than two weeks until polling day, Opposition leader Peter Dutton has pledged $90 million towards addressing domestic violence. It adds to the Coalition's $750 million package for reducing crime.",https://www.sbs.com.au/news/article/coalition-unveils-plan-domestic-plan/0lx4un5dg,Australia,Australia,N/A,Nation,Domestic Violence Prevention Initiative,2025-04-23 21:34:00.0000000,NULL,0,0
